Código,Nome,Setor,MO,MFCL,RA,RPL,NotaL,LC,D/PL,Receita,CLA,CRA,LPA,RPA,VPA,DPA
CGAS3,CIA de Gas de Sao Paulo - COMGAS,Utilities,0.2695,0.1523,0.1573,0.5654,3.6504230632869996,1.69,1.09,6840000000.0,0.16699999999999998,0.0121,10.142172197268657,51.8091544655098,20.61,4.44
CALI4,Construtora Adolpho Lindenberg SA Pfd Shs,Industrials,0.0558,0.146,0.001,0.0023,1.873764e-05,2.27,0,18000000.0,-0.3925,-0.1423,0.0,48387.096774193546,54.81,2.79
CSMG3,Compania de Saneamento de Minas Gerais - COPASA MG,Utilities,0.1963,0.0528,0.05,0.0888,0.04601900160000001,1.39,0.47,4664000000.0,0.030699999999999998,0.0155,4.347105742755481,36.79655387334222,48.9,2.75
CPLE3,Energy Company of Parana,Utilities,0.1318,-0.066,0.0323,0.0697,-0.019583695428,0.77,0.41,15174000000.0,-0.0501,0.0025,4.048893679998538,55.44937969340958,59.29,1.09
RLOG3,Cosan Logistica SA,Industrials,0.2384,0.10710000000000001,0.0028000000000000004,0.0332,0.002373514214400001,1.65,4.41,6585000000.0,0,0.1771,0.16190870939329569,14.215584684731361,4.95,0
CSRN3,CIA Energetica Do Rio Grande Norte - COSERN,Utilities,0.1794,-0.0781,0.0946,0.3114,-0.4127463270216,0.94,1.17,2375000000.0,-0.052000000000000005,0.08779999999999999,1.6302343015576473,14.130680533574496,5.72,0.21
CTNM3,CIA Tecidos Norte De Minas COTEMINAS,Consumer Cyclical,0.0837,-0.0665,0.018500000000000003,0.0839,-0.008639344507500002,1.45,1.03,2648000000.0,0.0,0.0171,2.154328241284763,86.43426034730382,27.81,0
CCPR3,Cyrela Commercial Propert SA Empr Part,Real Estate,0.4368,0.4341,0.0013,0.0042,0.0010352972447999998,1.7,1.2,489000000.0,0.0263,-0.0165,0.04178366091723493,4.0864420377055755,9.85,0
DTCY3,DTCOM - Direct To Co SA,Communication Services,0.4289,0.2874,0.13019999999999998,2.3156,37.163562189163194,0.44,0.08,16000000.0,0,0.0635,0.3851585569392733,2.0541789703427913,0.02,0
DASA3,Diagnosticos da America SA,Healthcare,0.1175,0.0199,0.0329,0.064,0.0049234192,1.39,0.4,3886000000.0,0.0906,0.0801,0.6732366009886961,12.458083006867014,11.35,0.27
PNVL3,Dimed SA Distribuidora de Medicamentos,Healthcare,0.0395,-0.0024,0.0731,0.1505,-0.0010429469399999998,1.69,0.2,2359000000.0,0.0489,0.0617,14.310876265962131,519.374724790841,100.25,3.89
